name|short_code|code|precision|subunit|symbol|symbol_first|decimal_mark|thousands_separator
UAE Dirham|AED|784|2|100|د.إ|True|.|,
Afghani|AFN|971|2|100|؋|False|.|,
Lek|ALL|8|2|100|L|False|.|,
Armenian Dram|AMD|51|2|100|դր.|False|.|,
Netherlands Antillean Guilder|ANG|532|2|100|ƒ|True|,|.
Kwanza|AOA|973|2|100|Kz|False|.|,
Argentine Peso|ARS|32|2|100|$|True|,|.
Australian Dollar|AUD|36|2|100|$|True|.| 
Aruban Florin|AWG|533|2|100|ƒ|False|.|,
Azerbaijanian Manat|AZN|944|2|100|₼|True|.|,
Convertible Mark|BAM|977|2|100|КМ|True|.|,
Barbados Dollar|BBD|52|2|100|$|False|.|,
Taka|BDT|50|2|100|৳|True|.|,
Bulgarian Lev|BGN|975|2|100|лв|False|,| 
Bahraini Dinar|BHD|48|3|1000|ب.د|True|.|,
Burundi Franc|BIF|108|0|1|Fr|False|.|,
Bermudian Dollar|BMD|60|2|100|$|True|.|,
Brunei Dollar|BND|96|2|100|$|True|.|,
Boliviano|BOB|68|2|100|Bs.|True|.|,
Mvdol|BOV|984|2|100|Bs.|True|.|,
Brazilian Real|BRL|986|2|100|R$|True|,|.
Bahamian Dollar|BSD|44|2|100|$|True|.|,
Ngultrum|BTN|64|2|100|Nu.|False|.|,
Pula|BWP|72|2|100|P|True|.|,
Belarussian Ruble|BYN|974|0|1|Br|False|,| 
Belize Dollar|BZD|84|2|100|$|True|.|,
Canadian Dollar|CAD|124|2|100|$|True|.|,
Congolese Franc|CDF|976|2|100|Fr|False|.|,
Swiss Franc|CHF|756|2|100|CHF|True|.|,
Unidades de fomento|CLF|990|0|1|UF|True|,|.
Chilean Peso|CLP|152|0|1|$|True|,|.
Yuan Renminbi|CNY|156|2|100|¥|True|.|,
Colombian Peso|COP|170|2|100|$|True|,|.
Costa Rican Colon|CRC|188|2|100|₡|True|,|.
Peso Convertible|CUC|931|2|100|$|False|.|,
Cuban Peso|CUP|192|2|100|$|True|.|,
Cape Verde Escudo|CVE|132|2|100|$|False|.|,
Czech Koruna|CZK|203|2|100|Kč|False|,|.
Djibouti Franc|DJF|262|0|1|Fdj|False|.|,
Danish Krone|DKK|208|2|100|kr|False|,|.
Dominican Peso|DOP|214|2|100|$|True|.|,
