date|base|rates.AUD|rates.BGN|rates.BRL|rates.CAD|rates.CHF|rates.CNY|rates.CZK|rates.DKK|rates.EEK|rates.EUR|rates.GBP|rates.HKD|rates.HRK|rates.HUF|rates.IDR|rates.ISK|rates.JPY|rates.KRW|rates.LTL|rates.LVL|rates.MXN|rates.MYR|rates.NOK|rates.NZD|rates.PHP|rates.PLN|rates.RON|rates.RUB|rates.SEK|rates.SGD|rates.SKK|rates.THB|rates.TRY|rates.ZAR|rates.INR|rates.ILS
2007-12-31|USD|1.1348|1.3284|1.7591|0.99015|1.1174|7.2794|17.8109|5.0622|10.6273|0.67921|0.50511|7.8047|4.9857|172.19|9410.0|62.059|109.89|937.46|2.3452|0.47454|10.8999|3.2941|5.3829|1.2918|41.071|2.4475|2.4375|24.439|6.3866|1.435|22.724|29.874|1.1667|6.8291||
2008-01-07|USD|1.1329|1.3294|1.7618|1.0066|1.1119|7.266|17.6747|5.0626|10.6353|0.67972|0.509|7.8034|4.9951|172.92|9441.0|62.65|109.4|938.53|2.3469|0.47461|10.9254|3.269|5.3435|1.292|40.74|2.4431|2.474|24.448|6.383|1.4324|22.667|29.614|1.161|6.866||
2008-01-14|USD|1.1257|1.3226|1.7566|1.02|1.0943|7.2431|17.5906|5.0368|10.5806|0.67622|0.50916|7.8013|4.965|172.26|9437.0|64.586|107.2|940.31|2.3349|0.47236|10.9331|3.2649|5.3487|1.2868|40.641|2.431|2.5014|24.37|6.3636|1.4313|22.651|30.029|1.168|6.8939||
2008-01-21|USD|1.1507|1.3411|1.8111|1.0228|1.0967|7.2291|17.8929|5.1094|10.7286|0.68568|0.51048|7.8089|5.004|177.23|9407.0|66.264|106.44|950.42|2.3675|0.47861|10.9396|3.2765|5.512|1.3156|41.105|2.492|2.5881|24.662|6.5046|1.4362|23.142|31.131|1.2057|7.1483||
2008-01-28|USD|1.1227|1.3198|1.7711|0.99899|1.0864|7.191|17.5079|5.0292|10.5585|0.67481|0.50295|7.8017|4.8863|174.3|9283.0|64.647|106.69|945.6|2.33|0.47075|10.8465|3.237|5.4319|1.2794|40.551|2.4384|2.5101|24.452|6.383|1.4187|22.686|31.331|1.1774|7.2941||
2008-02-04|USD|1.1133|1.3356|1.7567|1.0034|1.098|7.1861|17.5273|5.0893|10.6846|0.68287|0.5104|7.801|4.9585|178.53|9229.0|66.129|106.85|942.33|2.3578|0.47583|10.8085|3.2316|5.4887|1.2697|40.546|2.456|2.4966|24.639|6.4325|1.4163|22.85|31.201|1.187|7.6215||
2008-02-11|USD|1.1063|1.3402|1.7507|0.99801|1.1|7.1883|17.4474|5.1082|10.722|0.68526|0.51036|7.7992|4.9807|180.26|9237.0|67.436|107.51|945.49|2.3661|0.47731|10.753|3.2355|5.4669|1.2669|40.822|2.4661|2.4967|24.641|6.4179|1.4162|22.662|32.004|1.2078|7.7192||
2008-02-18|USD|1.089|1.3283|1.7255|1.0104|1.0958|7.1491|17.1115|5.063|10.6266|0.67916|0.51178|7.7996|4.947|179.44|9171.0|66.959|107.76|946.45|2.345|0.47308|10.7651|3.2211|5.3523|1.2513|40.625|2.4271|2.4794|24.54|6.3235|1.4108|22.412|31.525|1.2017|7.7312||
2008-02-25|USD|1.071|1.3034|1.685|0.98667|1.0702|7.135|16.7198|4.9677|10.4276|0.66644|0.50536|7.789|4.85|173.86|9088.0|65.898|106.46|942.63|2.3011|0.46431|10.7318|3.2057|5.2516|1.2326|40.37|2.3557|2.4457|24.213|6.2266|1.3998|21.822|30.311|1.1915|7.6043||
2008-03-03|USD|1.0717|1.281|1.6778|0.98553|1.0338|7.1072|16.4167|4.8799|10.248|0.65496|0.50152|7.7858|4.765|172.75|9081.0|66.623|103.12|950.46|2.2615|0.45647|10.7346|3.18|5.159|1.2504|40.664|2.3194|2.4392|23.954|6.1355|1.3885|21.297|31.595|1.2229|7.857||
2008-03-10|USD|1.0733|1.2645|1.687|0.9905|1.0186|7.0971|16.2132|4.8211|10.1161|0.64654|0.4946|7.7866|4.6977|168.15|9195.0|69.141|101.79|976.21|2.2324|0.45065|10.7853|3.181|5.1132|1.2417|41.25|2.2895|2.3937|23.762|6.0843|1.385|20.903|31.492|1.2298|7.8872||
2008-03-17|USD|1.0854|1.2486|1.713|1.0026|0.9963|7.0698|16.1549|4.7622|9.9889|0.63841|0.49981|7.7732|4.6335|164.89|9221.0|77.72|98.36|1014.96|2.2043|0.44481|10.7286|3.1791|5.1531|1.243|41.45|2.2574|2.3842|23.601|6.0272|1.3818|20.778|31.27|1.2456|8.0804||
